Rk,Player,Age,Pos,MP,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Precious Achiuwa,25,C,1170,9.8,1.7,1.4,1.3,1.4,11.7,achiupr01
2,Steven Adams,31,C,794,14.8,3.0,1.0,1.3,2.4,10.2,adamsst01
3,Bam Adebayo,27,C,2674,10.1,4.5,1.3,0.7,2.2,19.0,adebaba01
4,Ochai Agbaji,24,SG,1739,5.0,2.0,1.2,0.6,1.1,13.8,agbajoc01
5,Santi Aldama,24,PF,1660,9.0,4.1,1.1,0.6,1.5,17.6,aldamsa01
6,Trey Alexander,21,SG,117,3.7,3.4,0.6,0.3,1.5,9.8,alexatr01
7,Nickeil Alexander-Walker,26,SG,2073,4.6,3.9,0.9,0.6,1.7,13.4,alexani01
8,Grayson Allen,29,SG,1544,4.5,3.2,1.3,0.4,1.7,15.9,allengr01
9,Jarrett Allen,26,C,2296,12.5,2.5,1.2,1.1,1.5,17.3,allenja01
10,Jose Alvarado,26,PG,1366,3.6,6.8,2.0,0.4,2.3,15.3,alvarjo01
11,Kyle Anderson,31,PF,1002,7.4,5.2,1.4,1.2,1.3,12.8,anderky01
12,Giannis Antetokounmpo,30,PF,2289,12.6,6.8,0.9,1.2,3.2,32.0,antetgi01
13,Cole Anthony,24,PG,1234,6.0,5.6,1.3,0.9,3.0,18.4,anthoco01
14,OG Anunoby,27,PF,2706,4.8,2.2,1.5,0.9,1.4,17.7,anunoog01
15,Deni Avdija,24,SF,2161,8.7,4.7,1.2,0.6,3.3,20.3,avdijde01
16,Deandre Ayton,26,C,1206,12.1,1.9,0.9,1.2,2.1,17.2,aytonde01
17,Marcus Bagley,23,SF,253,10.0,1.4,1.3,1.7,1.0,9.5,baglema02
18,Marvin Bagley III,25,PF,265,11.4,1.5,1.2,1.1,1.6,18.5,baglema01
19,Patrick Baldwin Jr.,22,SF,107,8.4,1.0,1.0,0.7,1.7,17.8,baldwpa01
20,LaMelo Ball,23,PG,1505,5.5,8.3,1.3,0.3,4.0,28.3,ballla01
21,Lonzo Ball,27,PG,777,5.5,5.3,2.2,0.8,1.9,12.4,balllo01
22,Mo Bamba,26,C,413,12.6,1.6,0.8,2.7,1.7,12.0,bambamo01
23,Paolo Banchero,22,PF,1582,7.9,5.0,0.8,0.6,3.1,27.1,banchpa01
24,Desmond Bane,26,SG,2205,6.8,6.0,1.3,0.5,2.8,21.7,banede01
25,Dalano Banton,25,PG,1120,4.3,5.1,1.4,1.1,2.8,18.0,bantoda01
